smiles,redox_potential
FC(F)(F)COC(=O)OCC(F)(F)F,7.43 
O=C1Oc2ccccc2O1,5.183 
OC(O)=O.C=CC=C,5.51 
O=C1OCCCCO1,6.20 
CC1OC(=O)OC1C,6.70 
CC(C)=C.OC(O)=O,5.46 
CCOC(=O)OCC[S](F)(=O)=O,6.74 
FC1(F)COC(=O)O1,7.75 
FC(F)(F)OC(=O)OC(F)(F)F,8.22 
FCOC(=O)OCF,7.25 
COC(=O)OC(C)F,7.14 
CC12COB(OC1)OC2,5.34 
[O-][N+](=O)C12COB(OC1)OC2,5.86 
CC12COB(OC1)OC2=O,5.98 
CC12COB(OC1=O)OC2=O,6.56 
O=[S]1(=O)CCCC1,5.86 
CC[S](=O)(=O)C=C,6.05 
CC[S](C)(=O)=O,6.01 
C[S](C)(=O)=O,6.42 
CC[S](=O)(=O)CC,5.85 
C[S](C)=O,4.81 
CC[S](=O)CC,3.48 
CCC[S](=O)CCC,3.26 
CCCC[S](=O)CCCC,4.59 
O=[S]1OCCO1,6.39 
CC1CO[S](=O)O1,6.27 
C[S](=O)(=O)c1ccccc1F,5.52 
CC(C)[S](C)(=O)=O,5.56 
C[S](F)(=O)=O,7.67 
C[S](=O)(=O)CCC(F)(F)F,6.46 
CC[S](=O)(=O)C(C)C,5.47 
CC[S](=O)(=O)CC(C)C,5.75 
CCC(C)[S](=O)(=O)CC,5.45 
CCC[S](=O)(=O)CCC,5.79 
CC1CC[S](=O)(=O)C1,5.86 
CC1CC[S]1(=O)=O,5.38 
COCC[S](C)(=O)=O,5.58 
C[S](=O)(=O)CCCCC([O-])=O,6.00 
C[S](=O)(=O)CCOC(=O)C(F)F,6.33 
C[S](=O)(=O)CCCC#N,6.17 
O=[S]1(=O)CCC1,6.53 
COC1CC[S](=O)(=O)C1,5.51 
CCOC1CC[S](=O)(=O)C1,5.43 
CC(C)OC1CC[S](=O)(=O)C1,5.36 
COCCOC1CC[S](=O)(=O)C1,5.08 
CC(=O)OC1CC[S](=O)(=O)C1,6.00 
COC(=O)C[S](C)(=O)=O,6.20 
COCC[S](=O)(=O)CCOC,5.51 
CCOC(=O)C[S](C)(=O)=O,6.15 
CC(=O)OCC[S](C)(=O)=O,6.23 
C[S](=O)(=O)CCOC(=O)C(F)(F)F,6.35 
COC(=O)OCC[S](C)(=O)=O,6.22 
CCOC(=O)OCC[S](C)(=O)=O,6.19 
CC(C)OC(=O)OCC[S](C)(=O)=O,6.17 
COC[S](C)(=O)=O,4.72 
CCC[S](C)(=O)=O,5.99 
CCC(C)[S](=O)(=O)C(C)C,5.24 
CC(C)C[S](=O)(=O)C(C)C,5.42 
CC[S](=O)(=O)CCOC,5.53 
CCOC(=O)OC1CC[S](=O)(=O)C1,6.01 
O=[S]1(=O)CCCO1,6.29 
O=[S]1(=O)OCC=C1,6.54 
C[S](=O)(=O)CF,6.24 
C[S](=O)(=O)C(F)F,6.26 
C[S](=O)(=O)CCl,6.54 
FC1CC[S](=O)(=O)C1,6.11 
C[S](=O)(=O)CC(F)(F)F,6.86 
CC[S](=O)(=O)C(F)(F)F,6.64 
CC(C(F)(F)F)[S](C)(=O)=O,6.34 
CC(C)[S](=O)(=O)C(F)(F)F,5.57 
COC(=O)C[S](F)(=O)=O,6.96 
F[S](=O)(=O)CCCC#N,7.44 
O=[S]1(=O)CCCCO1,6.47 
CO[P](=O)(OC)OC,6.23 
CCO[P](=O)(OCC)OCC,6.10 
CO[P](C)(=O)OC,6.01 
c1ccncc1,5.27 
Cn1ccnc1,4.57 
O=C1CCCN1,5.41 
S=C1CCCN1,4.50 
O=C1CCC(=O)N1,5.84 
CN1CCCC1=O,4.74 
CC(C)=O,5.51 
CC1=C(C)OC(=O)O1,4.73 
CN1CCOC1=O,4.89 
CN1CCCC1=O,4.74 
CN1CCN(C)C1=O,4.10 
o1cccc1,4.73 
Cc1oc(C)cc1,4.78 
C1CCOCC1,5.10 
CCOCOC,5.34 
Fc1cocc1,4.87 
Fc1occc1,4.75 
Fc1cocc1F,5.08 
Fc1oc(F)cc1,4.78 
Fc1occc1F,4.89 
Fc1occ(F)c1,4.91 
N#Cc1occc1,5.26 
COc1occc1,4.00 
COc1cocc1,4.28 
CCc1occc1,4.38 
Cc1occc1C,4.14 
CC1CCOC1,5.18 
CC1CCCO1,5.12 
COCC(C)=O,4.95 
CC(=O)CCl,5.77 
CC(=O)CN,4.40 
CC(=O)CF,5.79 
CCCCC(=O)CC,5.22 
CCC(C)=O,5.39 
CC1CCC(=O)O1,6.05 
